Chrom	Midpoint	Scan1	Scan2	Scan3
1	97	1.7396	1.7396	0.7227475
1	98	0	0	0.396846619
1	99	0	0	0.410601922
1	100	0	0	2.53552575
1	101	0	0	0.989211746
1	102	0.0095	0.0095	1.363081254
1	103	0.2106	0.2106	2.02901677
1	104	0.2896	0.2896	2.485743717
1	105	0.3163	0.3163	2.505897205
1	106	0.465	0.465	1.507917453
1	107	0.4932	0.4932	2.377289595
1	108	0.4223	0.4223	0.059954455
1	109	0.3949	0.3949	0.015675726
1	110	0.3949	0.3949	0.23584636
1	111	0.3867	0.3867	2.411687735
1	112	0.2254	0.2254	2.496854575
1	113	0	0	0.746846083
1	114	0	0	2.669166173
1	115	0	0	2.086764949
1	116	0.0813	0.0813	1.788807006
1	117	0	0	2.555452121
1	118	0	0	2.15275986
1	119	0	0	2.556121674
1	120	0	0	1.611404303
1	121	0	0	1.504908524
1	122	0	0	1.924608612
1	123	0	0	0.167968572
1	124	0	0	0.949773598
1	125	0	0	0.484665585
1	126	0	0	0.521222325
1	127	0	0	0.32012268
1	128	0	0	0.514341056
1	129	0	0	2.159618879
1	130	0	0	2.977595039
1	131	0.0159	0.0159	0.957179594
1	132	0.1397	0.1397	2.695745267
1	133	0.0641	0.0641	8.780782699
1	134	0.2896	0.2896	4.812385378
1	135	0.3896	0.3896	8.157822244
1	136	0.5074	0.5074	6.85672348
1	137	0.6705	0.6705	8.571788263
1	138	0.5103	0.5103	5.827528298
1	139	1.0538	1.0538	5.957743434
1	140	1.7941	1.7941	0.146479743
1	141	2.2477	2.2477	8.73042087
1	142	2.495	2.495	5.378128977
1	143	1.2383	1.2383	3.715619709
1	144	3.9137	3.9137	7.945133301
1	145	4.6778	4.6778	2.608654443
1	146	4.4957	4.4957	3.944415689
1	147	7.0011	7.0011	6.730907692
1	148	7.4893	7.4893	8.656998361
1	149	7.1423	7.1423	1.651453887
1	150	6.3457	6.3457	2.633776477
1	151	5.2975	5.2975	5.179253356
1	152	3.8004	3.8004	5.369446668
1	153	0.701809725	2.1757	5.895831201
1	154	0.495760698	0.3415	4.047299871
1	155	1.631054835	0.3177	1.832647818
1	156	0.565594257	0.3949	3.325449797
1	157	2.718404357	0.2615	8.744717603
1	158	0.167528922	0.0718	6.135124418
1	159	0.859332913	0.0744	9.966629716
1	160	2.813495115	0	9.949951663
1	161	0.313390667	0	2.817653697
1	162	1.176079713	0	1.554521349
1	163	0.799317345	0	0.86009707
1	164	0.803069582	0.6123	0.13370571
1	165	1.349957768	1.677	1.366111281
1	166	2.41326763	1.9821	1.139175119
1	167	0.983209736	1.7538	2.038642067
1	168	2.911210246	1.2985	0.373509199
1	169	1.230734351	0.9759	0.373909139
1	170	1.465541161	2.0627	2.238750065
1	171	2.22189828	2.8019	2.962379346
1	172	2.344358197	3.0366	2.28599351
1	173	1.342548331	3.0107	1.662732005
1	174	0.990547708	2.9494	2.808387193
1	175	1.393024218	0.5173	1.893385159
1	176	0.15055467	0	2.917552943
1	177	0.732026073	0.3082	2.567620929
1	178	1.818610792	0.3438	1.468668733
1	179	1.21295302	0.2029	1.270025646
1	180	1.188935475	0.6519	2.45047687
1	181	0.250581943	0.8049	2.159061735
1	182	2.842902229	0.7504	1.681325226
1	183	2.699421751	0.5734	2.230176349
1	184	1.358160456	0.4442	0.588988779
1	185	1.108332826	0.5316	0.470670018
1	186	1.55539893	0.4472	2.94071357
1	187	0.401481547	1.5071	0.953505501
1	188	0.051145828	1.8243	1.531290856
1	189	0.433291817	0.938	0.772598164
1	190	0.30428616	0	2.406968546
1	191	1.993291958	0	2.448881518
1	192	0.151005438	0	0.752599152
1	193	2.585095899	0.3812	2.055012827
1	194	0.698280244	0.493	2.294590622
1	195	1.074796914	0.4189	0.668153389
1	196	2.867545812	0.4448	0.719650993
1	197	0.003880458	0.2185	1.667497374
1	198	0.016382549	0	1.79864974
1	199	2.541270804	0	2.768480473
1	200	1.517470453	0	1.017012426
1	201	1.339317595	0	2.190216494
1	202	0.702118198	0	1.073489736
1	203	0.46785275	0	0
1	204	0.397575393	0	0
1	205	1.676914792	0	0
1	206	1.937105763	0	0
1	207	1.960175876	0	0
1	208	0.66353336	0.3009	0.3009
1	209	2.94936775	0	0
1	210	1.638822963	0	0
1	211	2.847954516	0	0
1	212	1.467184922	0	0
1	213	1.666725678	0	0
1	214	1.07940861	0	0
1	215	0.189454255	0	0
1	216	2.25933491	0.7315	0.7315
1	217	0.393500388	0	0
1	218	2.703319598	0	0
1	219	1.261092936	0.7955	0.7955
1	220	1.589761719	0	0
1	221	2.200351378	0	0
1	222	1.449662345	0.5454	0.5454
1	223	1.956728524	1.4826	1.4826
1	224	2.998983275	0.967	0.967
1	225	1.446760497	0.4298	0.4298
1	226	1.584030255	0.9526	0.9526
1	227	0.091250645	1.7122	1.7122
1	228	0.461437635	3.1947	3.1947
1	229	2.274980802	1.5261	1.5261
1	230	2.690228731	0	0
1	231	0.155305689	0.1119	0.1119
1	232	1.255696078	1.771	1.771
1	233	1.307235859	1.7791	1.7791
1	234	0.779608323	1.9472	1.9472
1	235	1.59921853	1.9571	1.9571
1	236	2.353156877	3.2595	3.2595
1	237	1.636938267	3.8605	3.8605
1	238	0.110141014	3.6279	3.6279
1	239	1.521008563	3.0852	3.0852
1	240	1.675088238	2.3268	2.3268
1	241	2.243486692	1.4106	1.4106
1	242	0.468543494	1.3197	1.3197
1	243	1.347283631	1.352	1.352
1	244	0.841038234	1.3006	1.3006
1	245	1.550042891	1.4965	1.4965
1	246	0.941005315	1.573	1.573
1	247	0.762452222	1.2254	1.2254
1	248	1.550693155	0.886	0.886
1	249	1.753792031	0.554	0.554
1	250	0.640375279	0	0
1	251	1.458593818	0	0
1	252	1.070467653	0	0
1	253	2.222024285	0	0
1	254	1.051051713	0	0
1	255	1.663479386	0	0
1	256	0.007424241	0	0
1	257	2.482502093	0	0
1	258	1.378129665	0	0
1	259	1.811814871	0	0
1	260	1.955539154	0	0
1	261	2.561290488	0.1739	0.1739
1	262	1.115560137	0	0
1	263	2.685419436	0	0
1	264	1.134188092	0.186	0.186
1	265	2.347027081	0.3945	0.3945
1	266	2.984851821	0.9872	0.9872
1	267	2.844597094	2.861	2.861
1	268	0.986266403	1.3045	1.3045
1	269	0.083647726	0.1603	0.1603
1	270	0.540297472	0.682	0.682
1	271	1.945716864	0.0409	0.0409
1	272	1.796188423	0.0378	0.0378
1	273	2.219311232	0.4192	0.4192
1	274	2.144946462	0.7381	0.7381
1	275	2.018885017	1.1059	1.1059
1	276	2.531593822	1.8104	1.8104
1	277	2.988778233	1.4558	1.4558
1	278	2.441236018	0.7964	0.7964
1	279	1.848537107	1.114	1.114
1	280	2.476144581	0.4349	0.4349
1	281	2.694759312	0.3122	0.3122
1	282	1.095422882	0	0
1	283	2.325392427	0	0
1	284	1.783511391	0	0
1	285	0.230922701	0	0
1	286	2.67201289	0	0
1	287	2.583295877	0	0
1	288	2.51385634	0	0
1	289	2.712378128	0.4165	0.4165
1	290	1.510456851	0.4189	0.4189
1	291	2.118580985	0.3947	0.3947
1	292	1.308835907	0.2075	0.2075
1	293	0.613754784	0	0
1	294	0.097456604	0	0
1	295	0.729264093	0	0
1	296	2.832713528	0	0
1	297	2.552793814	0	0
1	298	0.092384832	1.4825	1.4825
1	299	0.343260803	1.6294	1.6294
1	300	2.273686212	0.7011	0.7011
1	301	0.967335342	0.2554	0.2554
1	302	2.660629087	0.126	0.126
1	303	2.969850447	1.1888	1.1888
1	304	1.726834195	0.925	0.925
1	305	1.047254722	0.6995	0.6995
1	306	2.369324121	0.0663	0.0663
1	307	1.037773933	0.7554	0.7554
1	308	2.047657798	0.8341	0.8341
1	309	1.7872	1.7872	1.754597141
1	310	3.3219	3.3219	0.631170612
1	311	3.1444	3.1444	0.966784823
1	312	1.2558	1.2558	1.648207901
1	313	2.561	2.561	0.298310353
1	314	3.2739	3.2739	0.663594021
1	315	3.9341	3.9341	0.173819819
1	316	4.455	4.455	1.924642893
1	317	4.7406	4.7406	1.968986675
1	318	5.0421	5.0421	0.130734854
1	319	5.0934	5.0934	1.226793026
1	320	4.209	4.209	2.22240293
1	321	2.6189	2.6189	1.813071665
1	322	6.2635	6.2635	1.537621822
1	323	7.4881	7.4881	0.540227465
1	324	7.9178	7.9178	0.963019933
1	325	7.3977	7.3977	1.265464242
1	326	1.3991	1.3991	0.827286277
1	327	6.7137	6.7137	0.231322653
1	328	10.76	10.76	1.194755685
1	329	12.4564	12.4564	1.484610716
1	330	13.5171	13.5171	0.735207693
1	331	13.803	13.803	1.944127978
1	332	13.753	13.753	0.950835488
1	333	19.0764	19.0764	2.751316735
1	334	18.6432	18.6432	1.434453888
1	335	11.2069	11.2069	0.104679255
1	336	0	0	1.413778948
1	337	0	0	1.068978824
1	338	0	0	1.553593072
1	339	0	0	1.38747662
1	340	0	0	2.439178225
1	341	0	0	1.801729858
1	342	0	0	2.924467843
1	343	0.3129	0.3129	0.292981472
1	344	1.3177	1.3177	1.968553199
1	345	1.0038	1.0038	0.130720396
1	346	0.8095	0.8095	0.834365619
1	347	0.1232	0.1232	0.403722774
1	348	2.9058	2.9058	1.498084901
1	349	3.4683	3.4683	1.465965137
1	350	2.6279	2.6279	2.83130746
1	351	1.9616	1.9616	0.236260112
1	352	1.2887	1.2887	1.408650977
1	353	0.6883	0.6883	1.86573255
1	354	0	0	2.567428625
1	355	0	0	1.212091845
1	356	0	0	2.399179125
1	357	0.0039	0.0039	1.609881247
1	358	1.607716015	0.4089	0.233176918
1	359	1.193304997	0.0544	1.191663384
1	360	2.577998863	1.0062	1.82642615
1	361	1.024527555	1.5627	1.150227429
1	362	0.525297447	0	1.377088284
1	363	2.465551215	0.5654	2.709895712
1	364	0.122584277	0.2835	0.2835
1	365	0.683392805	0	0
1	366	1.740360129	0	0
1	367	1.174340322	1.1797	1.1797
1	368	0.500797011	3.3567	3.3567
1	369	0.045659965	0	0
1	370	0.615447623	0.5425	0.5425
1	371	0.949604985	0.6377	0.6377
1	372	1.936072208	1.0791	1.0791
1	373	2.212693582	1.1055	1.1055
1	374	2.403408682	0.8039	0.8039
1	375	0.790814049	0.7769	0.7769
1	376	2.359948373	0.7888	0.7888
1	377	1.029335088	0	0
1	378	1.138815394	0	0
1	379	2.544011371	0	0
1	380	1.021650957	0.5882	0.538765229
1	381	1.233009433	1.9285	2.262260373
1	382	0.62508234	2.7341	1.641247199
1	383	2.217889062	3.031	1.988195781
1	384	0.806831376	3.1279	0.052507535
1	385	0.101023761	3.091	1.490511971
1	386	2.696804639	2.8751	2.925856172
1	387	1.634384806	2.3153	2.373380449
1	388	0.984051982	1.2994	0.836101002
1	389	0.122873418	1.9926	0.663635151
1	390	1.145328514	2.0609	1.561935753
1	391	2.10498259	1.4408	1.067548227
1	392	1.573313311	0.4417	2.987500834
1	393	2.275090343	0.4769	1.82543611
1	394	0.605435409	0.4179	0.87531453
1	395	2.465838975	0.377	1.184035481
1	396	0.727756107	0	2.71619876
1	397	2.397416928	0	0.444693892
1	398	0.689753935	0	2.290719589
1	399	0.242451671	0.3895	2.212240402
1	400	0.404497344	0.5729	1.000500288
1	401	1.507566451	0.458	1.601015763
1	402	2.538758336	0	2.173521905
1	403	1.472354543	0.0817	0.752153007
1	404	2.587415206	0.1168	1.295297584
1	405	0.463789019	0.0271	1.613639129
1	406	0.977377933	1.2994	2.806887758
1	407	2.756450602	0.6159	0.144631224
1	408	1.663638271	0	1.341226417
1	409	2.560520342	0.3141	0.439950009
1	410	2.515614897	2.2385	0.02949252
1	411	1.95352146	2.0438	2.993113633
1	412	0.244577252	1.4841	0.322303446
1	413	1.448873409	1.5785	0.297531195
1	414	2.105526882	1.5789	0.482044379
1	415	0.119274933	1.2788	0.186739935
1	416	0.736976458	0.7403	1.287924002
1	417	0.42863881	0	0.009022605
1	418	2.389438497	0.8711	2.145076716
1	419	1.719875696	2.1065	2.397583118
1	420	2.933116245	0.8388	2.537899121
1	421	1.577965252	0.787	0.538441187
1	422	1.046113899	2.9324	0.629439903
1	423	1.309883035	3.8986	1.486006792
1	424	2.016594168	3.423	1.461721479
1	425	1.551979078	0.6764	1.839339605
1	426	0.693010406	0.7341	0.279929427
1	427	2.26762342	1.185	0.015781579
1	428	2.009875899	0.7805	2.630714786
1	429	2.773203436	1.3843	0.230773079
1	430	0.007138703	1.4928	0.023696691
1	431	1.52194936	0	0.6745463
1	432	40.41681171	3.00E-04	2.463000884
1	433	83.46034215	4.0966	2.586295592
1	434	56.5144781	7.2984	1.169795312
1	435	4.349961642	8.7054	2.570550873
1	436	13.90181058	8.3507	1.9716054
1	437	71.51244783	8.7324	0.878671617
1	438	69.51464915	8.229	2.531482643
1	439	81.63065036	9.3499	1.686883444
1	440	40.05390777	9.9826	0.722164222
1	441	29.60315173	10.6661	0.350782412
1	442	47.20465937	10.6482	2.357344077
1	443	67.40799594	7.6071	0.439053427
1	444	49.13951231	0.1397	2.856596592
1	445	1.328158282	0	1.480492764
1	446	6.3064	6.3064	0.694199858
1	447	5.3675	5.3675	2.035426727
1	448	6.7295	6.7295	2.343641255
1	449	7.0595	7.0595	1.657808873
1	450	4.9918	4.9918	0.121705686
1	451	2.7054	2.7054	1.343224826
1	452	1.6751	1.6751	2.300775174
1	453	3.9269	3.9269	1.670398959
1	454	4.8739	4.8739	0.084966055
1	455	4.9709	4.9709	2.429877286
1	456	3.545	3.545	0.448283195
1	457	0.4645	0.4645	1.434423045
1	458	0.4425	0.4425	1.595815763
1	459	0.3824	0.3824	0.187061667
1	460	1.7893	1.7893	1.541010105
1	461	1.2498	1.2498	2.491197607
1	462	0.4189	0.4189	1.751451586
1	463	1.2046	1.2046	0.406022217
1	464	0.7255	0.7255	0.695893681
1	465	0.0246	0.0246	2.603874073
1	466	1.2935	1.2935	0.34736514
1	467	2.2919	2.2919	2.646007121
1	468	3.6786	3.6786	0.185550128
1	469	3.2253	3.2253	0.185312781
1	470	1.878	1.878	2.53404657
1	471	1.404	1.404	0.721929924
1	472	1.1398	1.1398	2.632128734
1	473	0	0	2.755515347
1	474	0.0755	0.0755	0.98772709
1	475	0	0	2.436397123
1	476	1.995914899	0.6237	2.825689409
1	477	1.263981746	0	2.336847478
1	478	2.000257331	0	1.347956029
1	479	0.861936997	0	2.734826492
1	480	1.20460081	0	2.918599516
1	481	2.278487166	0	2.740809609
1	482	1.481443822	0.6273	2.553917735
1	483	2.708658201	0.3048	2.664354541
1	484	2.715501857	0.2902	0.953604504
1	485	2.066259925	1.4915	1.733978024
1	486	1.685499768	1.4476	2.12836921
1	487	2.729435143	0.2682	1.780727189
1	488	0.512653842	3.5196	2.898105517
1	489	2.511031271	3.3661	2.286367118
1	490	2.16285176	1.5419	0.3026986
1	491	0.37550621	1.189	2.465559883
1	492	0.915247598	0	2.339782201
1	493	1.571035547	0.1505	2.356587305
1	494	1.190684687	0.1499	0.987837861
1	495	1.255724804	1.3201	0.80132024
1	496	2.191278981	2.3555	1.354552033
1	497	0.89621783	2.6477	1.029985303
1	498	0.235938226	1.8469	1.966808888
1	499	2.384702051	0.0386	2.009670881
1	500	2.972110424	0.1906	0.877058961
1	501	1.897145053	0.1841	2.400146863
1	502	1.49701955	0	1.091836284
1	503	2.328313489	0	0.042545011
1	504	0.772375754	0	1.285041874
1	505	0.053868368	0	0.202267134
1	506	0.57683961	0	0.518419862
1	507	0.695689105	0	2.967136466
1	508	1.502576245	0	1.930148427
1	509	0.255386136	0.2943	0.859549268
1	510	2.592699698	0.5203	1.371939396
1	511	1.285211607	0.05	1.922288367
1	512	0.754820623	0.3599	1.910952445
1	513	0.213604101	0.3132	2.869733696
1	514	2.851614991	0.3158	2.42359005
1	515	1.75388051	0.3075	1.379776909
1	516	1.899231795	0.5478	0.262922944
1	517	1.366365015	0.9075	1.412134772
1	518	2.574634745	1.0173	1.286582938
1	519	1.783306191	1.1308	0.37383682
1	520	2.800753641	1.2184	2.911207033
1	521	1.293960321	1.2517	0.870243876
1	522	0.734928675	1.1834	0.429933307
1	523	1.532419921	0.8834	2.695792457
1	524	2.635400757	0.2862	1.323683187
1	525	2.518710407	0.8225	2.125643581
1	526	0.088053167	0.7411	1.132318282
1	527	2.462632666	0.5776	1.400572082
1	528	2.569018143	0.5712	2.50361857
1	529	0.129003129	0.6549	2.996642439
1	530	1.013090974	0.6499	1.942253804
1	531	1.066665469	0.5728	0.322330762
1	532	1.855751424	0.8212	2.642753316
1	533	0.115124688	1.1284	0.595183428
1	534	2.948015764	1.2557	0.153265602
1	535	0.968407059	0.9684	1.556165804
1	536	1.629899115	0.5334	1.282150183
1	537	0.3515538	2.3886	1.746962827
1	538	1.76381358	2.6485	0.529199349
1	539	0.723125722	2.2056	1.858308862
1	540	0.630146934	1.6627	1.647787036
1	541	1.57054028	1.1026	0.941865814
1	542	0.5542	0.5542	2.931686042
1	543	0.0498	0.0498	0.869828595
1	544	0	0	1.562883706
1	545	0	0	2.765195209
1	546	0.0196	0.0196	0.2472878
1	547	0.0578	0.0578	1.488167331
1	548	0.0948	0.0948	0.728912107
1	549	0.1552	0.1552	0.295553276
1	550	0.3204	0.3204	1.626634155
1	551	0.9161	0.9161	0.712205776
1	552	0.6113	0.6113	2.308582901
1	553	0.1405	0.1405	0.865464595
1	554	0	0	0.398168188
1	555	0	0	0.203965173
1	556	0	0	1.052161063
1	557	1.678	1.678	1.70948998
1	558	2.4577	2.4577	2.942547248
1	559	1.1804	1.1804	1.001017639
1	560	0.4142	0.4142	0.935525168
1	561	0.3007	0.3007	2.485614038
1	562	0.2896	0.2896	1.301970408
1	563	0.0124	0.0124	0.303570127
1	564	0	0	0.432774195
1	565	6.00E-04	6.00E-04	2.061252686
1	566	0.6801	0.6801	1.529188887
1	567	2.7649	2.7649	2.593755281
1	568	1.9023	1.9023	2.254952583
1	569	1.3078	1.3078	1.308054686
1	570	0.5627	0.5627	1.984895931
1	571	0	0	1.565288188
1	572	0	0	2.218285209
1	573	0	0	2.170078554
1	574	0.205	0.205	0.645043417
1	575	0.7998	0.7998	0.65832509
1	576	0.6705	0.6705	2.543291318
1	577	0.8458	0.8458	2.659225774
1	578	0	0	0.030448797
1	579	1.2744	1.2744	1.118261716
1	580	0.4557	0.4557	0.948455102
1	581	0	0	2.795516451
1	582	0	0	1.263058703
1	583	0.0039	0.0039	2.229217061
1	584	0	0	2.488830434
1	585	0.3239	0.3239	2.238163116
1	586	0.3858	0.3858	2.508465895
1	587	0.3096	0.3096	0.14049682
1	588	1.4377	1.4377	2.652034361
1	589	0	0	2.578601787
1	590	0.1609	0.1609	1.372130659
1	591	1.4119	1.4119	1.20110014
1	592	0.8171	0.8171	1.808334144
1	593	0.5398	0.5398	1.210323218
1	594	0.446	0.446	1.102022227
1	595	0.3898	0.3898	1.858793584
1	596	0.394	0.394	0.125198036
1	597	0.3833	0.3833	1.95250912
1	598	0.8128	0.8128	2.177643058
1	599	0.2788	0.2788	0.720945195
1	600	0.0452	0.0452	0.125971104
1	601	0.0555	0.0555	1.081106499
1	602	0.0424	0.0424	0.493476555
1	603	0.8954	0.8954	1.601081508
1	604	0.4105	0.4105	0.085719637
1	605	0.6492	0.6492	1.003555558
1	606	0.559	0.559	2.413388617
1	607	0.4189	0.4189	4.660612462
1	608	0.3768	0.3768	0.422822971
1	609	0	0	51.88027482
1	610	0.3247	0.3247	22.14225656
1	611	0.037	0.037	32.34843536
1	612	0.1278	0.1278	48.25330603
1	613	0.1123	0.1123	29.83336532
1	614	0.4616	0.4616	44.34782518
1	615	0.4189	0.4189	41.9245625
1	616	1.0002	1.0002	55.64252276
1	617	1.2151	1.2151	58.33339924
1	618	1.6977	1.6977	6.782041266
1	619	1.0298	1.0298	20.218713
1	620	1.5064	1.5064	96.30439567
1	621	2.4982	2.4982	9.390240034
1	622	2.1802	2.1802	8.808798169
1	623	2.5159	2.5159	6.321470509
1	624	3.2416	3.2416	95.25370261
1	625	0.538	0.538	56.06206083
1	626	3.7098	3.7098	51.55338776
1	627	5.4768	5.4768	97.63780577
1	628	2.7641	2.7641	67.64754367
1	629	3.0138	3.0138	4.406147679
1	630	1.0247	1.0247	91.32625235
1	631	7.3463	7.3463	20.95704439
1	632	11.0428	11.0428	46.46195226
1	633	13.7159	13.7159	96.86151867
1	634	16.5221	16.5221	28.94230347
1	635	17.4498	17.4498	43.11525494
1	636	16.4595	16.4595	36.19429339
1	637	9.0112	9.0112	0.248434614
1	638	16.3476	16.3476	72.57841253
1	639	15.7459	15.7459	13.20201915
1	640	9.8385	9.8385	81.34460006
1	641	0.3606	0.3606	88.20872784
1	642	18.8176	18.8176	69.49367146
1	643	25.0378	25.0378	87.53816104
1	644	26.7789	26.7789	89.48846186
1	645	32.3131	32.3131	92.51873094
1	646	35.2545	35.2545	81.74489639
1	647	37.1472	37.1472	87.61632703
1	648	38.1569	38.1569	92.27964963
1	649	37.3938	37.3938	12.29383248
1	650	37.9999	37.9999	3.171972019
1	651	34.0229	34.0229	7.550337056
1	652	38.2153	38.2153	11.21311698
1	653	37.2697	37.2697	63.41217865
1	654	34.527	34.527	33.68173676
1	655	28.5393	28.5393	62.89062015
1	656	2.6812	2.6812	50.78577049
1	657	23.046	23.046	22.22407816
1	658	34.4959	34.4959	75.42620079
1	659	39.2962	39.2962	82.6328344
1	660	40.6445	40.6445	58.4148007
1	661	36.3805	36.3805	50.18738571
1	662	28.6768	28.6768	10.99736304
1	663	42.6939	42.6939	1.772795378
1	664	42.8776	42.8776	79.55981033
1	665	41.2457	41.2457	23.09812173
1	666	35.3689	35.3689	30.65147714
1	667	18.6611	18.6611	16.94934865
1	668	4.4966	4.4966	2.072652899
1	669	23.3324	23.3324	23.3324
1	670	26.549	26.549	26.549
1	671	23.3037	23.3037	23.3037
1	672	13.0216	13.0216	13.0216
1	673	1.2302	1.2302	1.2302
1	674	4.4664	4.4664	4.4664
1	675	9.0042	9.0042	9.0042
1	676	4.9957	4.9957	4.9957
1	677	1.7775	1.7775	1.7775
1	678	5.2074	5.2074	5.2074
1	679	4.653	4.653	4.653
1	680	2.9746	2.9746	2.9746
1	681	1.2244	1.2244	1.2244
1	682	0.5007	0.5007	0.5007
1	683	0.3949	0.3949	0.3949
1	684	1.0359	1.0359	1.0359
1	685	1.7839	1.7839	1.7839
1	686	0.2433	0.2433	0.2433
1	687	0.2008	0.2008	0.2008
1	688	0.0891	0.0891	0.0891
1	689	0	0	0
1	690	0	0	0
1	691	0	0	0
1	692	0	0	0
1	693	1.864	1.864	1.864
1	694	1.8362	1.8362	1.8362
1	695	0	0	0
1	696	0	0	0
1	697	0.2033	0.2033	2.968180323
1	698	2.6601	2.6601	1.162968906
1	699	1.7587	1.7587	2.460428865
1	700	0.9354	0.9354	1.465918153
1	701	1.3734	1.3734	0.646668118
1	702	1.606	1.606	1.23349598
1	703	1.7558	1.7558	1.962943658
1	704	0.7141	0.7141	2.977310437
1	705	1.2964	1.2964	1.216867941
1	706	1.1941	1.1941	0.806284708
1	707	1.3036	1.3036	0.818268314
1	708	1.5597	1.5597	2.285899799
1	709	0	0	0.276541852
1	710	1.1951	1.1951	0.753112939
1	711	0	0	0.723299846
1	712	0	0	1.521028108
1	713	0.3808	0.3808	2.684635788
1	714	0	0	0.226001321
1	715	0.1038	0.1038	1.652332124
1	716	0	0	0.255765581
1	717	1.0456	1.0456	1.82876316
1	718	1.3254	1.3254	1.853457449
1	719	0.3949	0.3949	0.393516971
1	720	0.0244	0.0244	1.636402124
1	721	0	0	1.773658577
1	722	2.7659	2.7659	2.619319355
1	723	0.3481	0.3481	2.574825554
1	724	0.0729	0.0729	0.721124569
1	725	0.1766	0.1766	2.828275349
1	726	1.0174	1.0174	1.356265307
1	727	0	0	1.314612038
1	728	0.2959	0.2959	1.4111376
1	729	0.7055	0.7055	0.130028455
1	730	0.4204	0.4204	2.449110056
1	731	0.091740777	0.5084	0.5084
1	732	0.456913628	0.1284	0.1284
1	733	0.076986375	0.2543	0.2543
1	734	1.655332583	0.049	0.049
1	735	1.590376538	1.6598	1.6598
1	736	1.18566774	0.409	0.409
1	737	2.146011364	0.4369	0.4369
1	738	0.631737061	0.156	0.156
